code,sido,sido_eng,pop_2020,pop_2025
11,서울특별시,Seoul,9668465,9303656
21,부산광역시,Busan,3391946,3240000
22,대구광역시,Daegu,2418346,2358000
23,인천광역시,Incheon,2942828,3030000
24,광주광역시,Gwangju,1450062,1400000
25,대전광역시,Daejeon,1463882,1435000
26,울산광역시,Ulsan,1136017,1088000
29,세종특별자치시,Sejong,355831,396000
31,경기도,Gyeonggi,13427014,13687803
32,강원도,Gangwon,1542840,1513000
33,충청북도,Chungbuk,1600837,1585000
34,충청남도,Chungnam,2121029,2138000
35,전라북도,Jeonbuk,1804104,1728000
36,전라남도,Jeonnam,1851549,1776000
37,경상북도,Gyeongbuk,2639422,2521000
38,경상남도,Gyeongnam,3340216,3226000
39,제주특별자치도,Jeju,674635,667000
